lsc_year,analysis_unit,frame_stratum,score,ci_low,ci_high,measure,method_key,method_family,method_label,score_2014,score_delta,ci_low_delta,ci_high_delta,fitted_delta
2026,Autism,substantive_core_overall,0.632241190192851,0.6195084747594507,0.6422322220594103,Breadth,mpnet,baes_check,Original SIBling: MPNet,0.6351804370753289,-0.0029392468824779305,-0.015671962315878196,0.007051784984081433,-0.008584115702397366
2014,Autism,substantive_core_overall,0.0959553331457008,0.0922469893170692,0.0992358094529953,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.0959553331457008,0.0,-0.0037083438286315967,0.0032804763072945,0.0025934611104298927
2015,Autism,substantive_core_overall,0.0952078954173131,0.0914242867255344,0.0990532420934552,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.0959553331457008,-0.000747437728387701,-0.004531046420166399,0.003097908947754399,0.0027121782711386905
2016,Autism,substantive_core_overall,0.0970510392062022,0.0935488236062794,0.1007262181646235,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.0959553331457008,0.0010957060605013974,-0.0024065095394213976,0.004770885018922699,0.0028308954318474883
2017,Autism,substantive_core_overall,0.1005032398612284,0.0967311191727286,0.1042716377839268,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.0959553331457008,0.0045479067155276,0.0007757860270277972,0.008316304638225996,0.0029496125925563
2018,Autism,substantive_core_overall,0.1022392282413826,0.0982402803065312,0.1062332219071424,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.0959553331457008,0.0062838950956817935,0.0022849471608304,0.010277888761441603,0.0030683297532650977
2019,Autism,substantive_core_overall,0.0990902215281112,0.0952923718560066,0.1035310481530714,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.0959553331457008,0.0031348883824103974,-0.0006629612896942028,0.007575715007370601,0.0031870469139738955
2020,Autism,substantive_core_overall,0.1040147851047933,0.0998578583638557,0.1082055180951411,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.0959553331457008,0.008059451959092495,0.003902525218154901,0.012250184949440301,0.0033057640746826933
2021,Autism,substantive_core_overall,0.1008162805331651,0.0965713718247157,0.1048940353911082,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.0959553331457008,0.004860947387464301,0.0006160386790148992,0.008938702245407396,0.003424481235391491
2022,Autism,substantive_core_overall,0.1010717532503093,0.0966867753810663,0.105359987743244,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.0959553331457008,0.005116420104608499,0.0007314422353655037,0.009404654597543194,0.003543198396100289
2023,Autism,substantive_core_overall,0.1029412431461923,0.0984187472047299,0.1080878721758668,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.0959553331457008,0.006985910000491494,0.002463414059029098,0.012132539030165992,0.0036619155568090866
2024,Autism,substantive_core_overall,0.1003824487053594,0.0957740641000814,0.1046957413654792,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.0959553331457008,0.004427115559658593,-0.00018126904561940882,0.008740408219778395,0.0037806327175178983
2025,Autism,substantive_core_overall,0.0933775320160087,0.0890136299749817,0.0979797079629833,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.0959553331457008,-0.002577801129692109,-0.006941703170719099,0.002024374817282501,0.003899349878226696
2026,Autism,substantive_core_overall,0.0977432637092193,0.0895072479801801,0.1067435394827202,Breadth,xl_lexeme,main,Present: XL-LEXEME,0.0959553331457008,0.0017879305635185028,-0.0064480851655207005,0.010788206337019393,0.004018067038935494
2014,ADHD,substantive_core_overall,0.4048236077556836,0.4017637886967894,0.4082664694648455,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4048236077556836,0.0,-0.0030598190588941865,0.003442861709161915,0.0013509626377014583
2015,ADHD,substantive_core_overall,0.4031811052556105,0.4000288739168012,0.4067546690667198,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4048236077556836,-0.0016425025000730842,-0.0047947338388824035,0.0019310613110362085,0.0004885651409541891
2016,ADHD,substantive_core_overall,0.402026342326258,0.3989934522388988,0.4050611893735161,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4048236077556836,-0.0027972654294255994,-0.005830155516784785,0.0002375816178324941,-0.00037383235579313556
2017,ADHD,substantive_core_overall,0.4036372264789121,0.4006119441457139,0.4069668598835882,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4048236077556836,-0.0011863812767715087,-0.004211663609969718,0.0021432521279046157,-0.0012362298525404047
2018,ADHD,substantive_core_overall,0.4039509525673648,0.4007852399351118,0.4070170152493959,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4048236077556836,-0.000872655188318805,-0.00403836782057182,0.002193407493712274,-0.0020986273492877294
2019,ADHD,substantive_core_overall,0.4046045537646444,0.4008201479022624,0.4083618508409988,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4048236077556836,-0.00021905399103921974,-0.00400345985342121,0.003538243085315196,-0.0029610248460349986
2020,ADHD,substantive_core_overall,0.4030018255262953,0.3995730747230729,0.4066350493804333,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4048236077556836,-0.0018217822293882802,-0.005250533032610694,0.0018114416247497211,-0.0038234223427823233
2021,ADHD,substantive_core_overall,0.4038794295171339,0.4005143581582098,0.4078986694367383,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4048236077556836,-0.0009441782385496977,-0.004309249597473808,0.0030750616810547027,-0.004685819839529648
2022,ADHD,substantive_core_overall,0.398267926882187,0.3950532673109712,0.4013744359330017,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4048236077556836,-0.0065556808734966165,-0.009770340444712422,-0.0034491718226818957,-0.005548217336276917
2023,ADHD,substantive_core_overall,0.4006257424159356,0.397045030360079,0.4037975460835339,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4048236077556836,-0.004197865339747975,-0.007778577395604613,-0.0010260616721496918,-0.006410614833024242
2024,ADHD,substantive_core_overall,0.3985914867607713,0.394825586617253,0.4025978242800021,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4048236077556836,-0.006232120994912327,-0.009998021138430624,-0.0022257834756814754,-0.007273012329771511
2025,ADHD,substantive_core_overall,0.3957173882286361,0.391484003784038,0.4000191582618155,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4048236077556836,-0.009106219527047488,-0.013339603971645575,-0.0048044494938681015,-0.008135409826518836
2026,ADHD,substantive_core_overall,0.3906948228882833,0.3852007662811926,0.3960875738210631,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4048236077556836,-0.014128784867400324,-0.019622841474491004,-0.008736033934620524,-0.008997807323266105
2014,ADHD,substantive_core_overall,0.0189721076647605,0.0094625906966649,0.0292772078894178,Intensity,nrc_vad,main,Present: NRC-VAD,0.0189721076647605,0.0,-0.0095095169680956,0.0103051002246573,0.0035518058951889177
2015,ADHD,substantive_core_overall,0.0108099235104669,0.0009434324589791,0.0217835245519001,Intensity,nrc_vad,main,Present: NRC-VAD,0.0189721076647605,-0.008162184154293598,-0.0180286752057814,0.002811416887139602,0.0036172044355082464
2016,ADHD,substantive_core_overall,0.0243148202946797,0.0145442134715332,0.0337513072013782,Intensity,nrc_vad,main,Present: NRC-VAD,0.0189721076647605,0.005342712629919203,-0.004427894193227299,0.014779199536617701,0.0036826029758275786
2017,ADHD,substantive_core_overall,0.0261440326023675,0.0157570241771574,0.0362226171151279,Intensity,nrc_vad,main,Present: NRC-VAD,0.0189721076647605,0.007171924937607002,-0.0032150834876030973,0.0172505094503674,0.0037480015161469073
2018,ADHD,substantive_core_overall,0.0293312631642294,0.0189097822784038,0.0392806025342274,Intensity,nrc_vad,main,Present: NRC-VAD,0.0189721076647605,0.010359155499468902,-6.23253863566986e-05,0.020308494869466905,0.0038134000564662394
2019,ADHD,substantive_core_overall,0.0320906715126341,0.0219937922685091,0.0441468809004486,Intensity,nrc_vad,main,Present: NRC-VAD,0.0189721076647605,0.013118563847873604,0.0030216846037486,0.0251747732356881,0.003878798596785568
2020,ADHD,substantive_core_overall,0.0292324770575908,0.0191200797482662,0.0394567062105083,Intensity,nrc_vad,main,Present: NRC-VAD,0.0189721076647605,0.010260369392830301,0.00014797208350570204,0.0204845985457478,0.0039441971371049
2021,ADHD,substantive_core_overall,0.0268382110352673,0.0154020702169808,0.0380059867044237,Intensity,nrc_vad,main,Present: NRC-VAD,0.0189721076647605,0.007866103370506802,-0.0035700374477796986,0.0190338790396632,0.0040095956774242325
2022,ADHD,substantive_core_overall,0.0125194848975188,0.0023325404431863,0.022324090169366,Intensity,nrc_vad,main,Present: NRC-VAD,0.0189721076647605,-0.006452622767241699,-0.016639567221574197,0.003351982504605503,0.004074994217743561
2023,ADHD,substantive_core_overall,0.0228904785560523,0.0101468591669563,0.034836614604789,Intensity,nrc_vad,main,Present: NRC-VAD,0.0189721076647605,0.003918370891291802,-0.008825248497804198,0.0158645069400285,0.004140392758062893
2024,ADHD,substantive_core_overall,0.0179634446693657,0.0068639383053848,0.0299360046253445,Intensity,nrc_vad,main,Present: NRC-VAD,0.0189721076647605,-0.0010086629953947983,-0.012108169359375698,0.010963896960584002,0.004205791298382222
2025,ADHD,substantive_core_overall,0.0270033052259004,0.0137698528896793,0.040781841139011,Intensity,nrc_vad,main,Present: NRC-VAD,0.0189721076647605,0.008031197561139902,-0.005202254775081199,0.021809733474250505,0.004271189838701554
2026,ADHD,substantive_core_overall,0.0198017422334172,0.0020763015372572,0.0354401041904251,Intensity,nrc_vad,main,Present: NRC-VAD,0.0189721076647605,0.0008296345686567008,-0.0168958061275033,0.0164679965256646,0.004336588379020883
2014,Autism,substantive_core_overall,0.4007212762166565,0.3990203824072814,0.4025720101229896,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4007212762166565,0.0,-0.0017008938093751036,0.001850733906333113,8.802272666891264e-05
2015,Autism,substantive_core_overall,0.4010198835153818,0.3991279702264754,0.4030382140984703,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4007212762166565,0.00029860729872532854,-0.001593305990181093,0.0023169378818138076,-0.00010307253727670496
2016,Autism,substantive_core_overall,0.4011657625127919,0.3994472833554273,0.4030203430722381,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4007212762166565,0.0004444862961354157,-0.0012739928612292006,0.002299066855581622,-0.00029416780122226704
2017,Autism,substantive_core_overall,0.4023058890310602,0.4003821370118597,0.4043484140539405,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4007212762166565,0.0015846128144036964,-0.00033913920479677895,0.0036271378372840224,-0.00048526306516788464
2018,Autism,substantive_core_overall,0.3995466544728103,0.3975753408702469,0.4016502413227181,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4007212762166565,-0.0011746217438461937,-0.003145935346409612,0.0009289651060616078,-0.0006763583291135022
2019,Autism,substantive_core_overall,0.3983071096797732,0.3960881020053827,0.4007195443126776,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4007212762166565,-0.002414166536883311,-0.004633174211273794,-1.731903978896554e-06,-0.0008674535930590643
2020,Autism,substantive_core_overall,0.399054051915163,0.396710463431339,0.401552807647401,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4007212762166565,-0.001667224301493464,-0.004010812785317508,0.0008315314307444921,-0.001058548857004682
2021,Autism,substantive_core_overall,0.3994783384051569,0.3974372979067767,0.4016999809976264,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4007212762166565,-0.0012429378114995893,-0.003283978309879809,0.0009787047809698968,-0.0012496441209502995
2022,Autism,substantive_core_overall,0.3961842958161461,0.3934897460878785,0.3985129118835808,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4007212762166565,-0.004536980400510371,-0.007231530128777974,-0.0022083643330756964,-0.0014407393848958616
2023,Autism,substantive_core_overall,0.3962779884743291,0.3933991548441928,0.3987959744063391,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4007212762166565,-0.004443287742327384,-0.007322121372463686,-0.0019253018103173591,-0.0016318346488414792
2024,Autism,substantive_core_overall,0.3961946584488957,0.3931538311465432,0.3988797784834852,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4007212762166565,-0.00452661776776081,-0.00756744507011331,-0.0018414977331712712,-0.0018229299127870968
2025,Autism,substantive_core_overall,0.4139879397714081,0.4109799574831783,0.4170098365315865,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4007212762166565,0.01326666355475159,0.010258681266521796,0.016288560314930034,-0.002014025176732659
2026,Autism,substantive_core_overall,0.3913716074159021,0.3863657270685622,0.396882549929338,Intensity,warriner,baes_check,Original SIBling: Warriner,0.4007212762166565,-0.009349668800754385,-0.014355549148094282,-0.0038387262873184613,-0.0022051204406782765
2014,Autism,substantive_core_overall,0.003139795432014,-0.0022283488681652,0.0084506073112293,Intensity,nrc_vad,main,Present: NRC-VAD,0.003139795432014,0.0,-0.0053681443001792,0.0053108118792153,-1.3463061699000092e-05
2015,Autism,substantive_core_overall,0.0062431439813107,-0.0005062204397005,0.0125892584286682,Intensity,nrc_vad,main,Present: NRC-VAD,0.003139795432014,0.0031033485492967,-0.0036460158717145,0.0094494629966542,0.0010789401407328
2016,Autism,substantive_core_overall,0.0072698768718081,0.0019983995537398,0.0130324082569424,Intensity,nrc_vad,main,Present: NRC-VAD,0.003139795432014,0.0041300814397941,-0.0011413958782741998,0.0098926128249284,0.0021713433431646
2017,Autism,substantive_core_overall,0.0063786982593681,0.0005134166786251,0.0121924884146257,Intensity,nrc_vad,main,Present: NRC-VAD,0.003139795432014,0.0032389028273541003,-0.0026263787533889003,0.0090526929826117,0.0032637465455964
2018,Autism,substantive_core_overall,0.0097657568983751,0.0029517967048104,0.0163072630060775,Intensity,nrc_vad,main,Present: NRC-VAD,0.003139795432014,0.0066259614663611004,-0.00018799872720359984,0.013167467574063499,0.0043561497480282
2019,Autism,substantive_core_overall,0.0083398877138007,0.0024820841860903,0.0147138016736754,Intensity,nrc_vad,main,Present: NRC-VAD,0.003139795432014,0.0052000922817867,-0.0006577112459236999,0.0115740062416614,0.0054485529504599995
2020,Autism,substantive_core_overall,0.0071051673300899,-0.0002574923786813,0.0137621975108606,Intensity,nrc_vad,main,Present: NRC-VAD,0.003139795432014,0.0039653718980759,-0.0033972878106953,0.0106224020788466,0.0065409561528918005
2021,Autism,substantive_core_overall,0.0043966880733944,-0.0023326801454727,0.0112904685327308,Intensity,nrc_vad,main,Present: NRC-VAD,0.003139795432014,0.0012568926413804,-0.0054724755774867,0.0081506731007168,0.007633359355323601
2022,Autism,substantive_core_overall,0.0032965224674095,-0.0048701528252364,0.0099171843875029,Intensity,nrc_vad,main,Present: NRC-VAD,0.003139795432014,0.00015672703539550007,-0.008009948257250401,0.0067773889554889,0.0087257625577554
2023,Autism,substantive_core_overall,0.0118188213882264,0.0036839943038812,0.0196044957919775,Intensity,nrc_vad,main,Present: NRC-VAD,0.003139795432014,0.008679025956212399,0.0005441988718672,0.016464700359963502,0.0098181657601872
2024,Autism,substantive_core_overall,0.0115450589864832,0.0030712713266663,0.0199449686559856,Intensity,nrc_vad,main,Present: NRC-VAD,0.003139795432014,0.0084052635544692,-6.852410534770011e-05,0.016805173223971598,0.010910568962619
2025,Autism,substantive_core_overall,0.0469696732106844,0.0379590087837302,0.0561393688598861,Intensity,nrc_vad,main,Present: NRC-VAD,0.003139795432014,0.043829877778670395,0.0348192133517162,0.0529995734278721,0.012002972165050802
2026,Autism,substantive_core_overall,-0.000419320009189,-0.0137461503015287,0.0122874684157576,Intensity,nrc_vad,main,Present: NRC-VAD,0.003139795432014,-0.003559115441203,-0.016885945733542698,0.0091476729837436,0.013095375367482601
