lsc_year,analysis_unit,frame_stratum,term_role,target_group,breadth_mean_pairwise_cosine_distance,sampled_contexts,sampled_documents,sampled_domains,bootstrap_repetitions,bootstrap_unit,breadth_bootstrap_mean,breadth_ci_low,breadth_ci_high,available_contexts,markable_contexts,unmarkable_contexts,unmarkable_share,cap_applied,sampling_policy,top_domain,top_domain_share,small_cell_flag
2015,Autism,clinical_only,target,Autism,0.6323769449226577,1853,1322,990,500,doc_id,0.6320202416322181,0.6239048481852862,0.638704768787677,2083,1853,0,0.0,False,all_markable_target_contexts_no_comparators,technologynetworks.com,0.023745277927684834,False
2016,Autism,clinical_only,target,Autism,0.6363591875816592,1954,1392,1153,500,doc_id,0.6360097449080929,0.6292485304715201,0.6428579569586786,2175,1954,0,0.0,False,all_markable_target_contexts_no_comparators,bartlesvilleradio.com,0.01023541453428864,False
2017,Autism,clinical_only,target,Autism,0.6427112182904441,1781,1290,1123,500,doc_id,0.6423014392068738,0.6347372412413745,0.6487224837860293,1984,1781,0,0.0,False,all_markable_target_contexts_no_comparators,scienceblogs.com,0.009545199326221224,False
2018,Autism,clinical_only,target,Autism,0.641652429773835,1758,1277,1131,500,doc_id,0.6412425775723459,0.6341018601794075,0.6482737921669287,1959,1758,0,0.0,False,all_markable_target_contexts_no_comparators,eu-aims.eu,0.015927189988623434,False
2019,Autism,clinical_only,target,Autism,0.6413561506727958,1554,1097,1004,500,doc_id,0.6404071503387572,0.6327673284531544,0.6479193002352204,1717,1554,0,0.0,False,all_markable_target_contexts_no_comparators,rki.de,0.013513513513513514,False
2020,Autism,clinical_only,target,Autism,0.6425395690799551,1400,1031,966,500,doc_id,0.642199610441467,0.6330814271533904,0.6514618305438646,1532,1400,0,0.0,False,all_markable_target_contexts_no_comparators,virginia.edu,0.007142857142857143,False
2021,Autism,clinical_only,target,Autism,0.6393889328043744,1274,924,829,500,doc_id,0.6386497740474397,0.6301862654296596,0.6472481362386238,1413,1274,0,0.0,False,all_markable_target_contexts_no_comparators,asdcarc.com,0.013343799058084773,False
2022,Autism,clinical_only,target,Autism,0.6285745435186444,1051,772,715,500,doc_id,0.6279369823523735,0.6174770920731464,0.6377031088324513,1175,1051,0,0.0,False,all_markable_target_contexts_no_comparators,simonssearchlight.org,0.008563273073263558,False
2023,Autism,clinical_only,target,Autism,0.6329021396562762,967,678,623,500,doc_id,0.6320057748958573,0.6223632882436794,0.6434348072639532,1092,967,0,0.0,False,all_markable_target_contexts_no_comparators,autismspeaks.org,0.012409513960703205,False
2024,Autism,clinical_only,target,Autism,0.6280460659280953,819,592,531,500,doc_id,0.6270406659941772,0.6152329769272221,0.6387927576376331,900,819,0,0.0,False,all_markable_target_contexts_no_comparators,thetreetop.com,0.01221001221001221,False
2025,Autism,clinical_only,target,Autism,0.624101076027175,949,634,513,500,doc_id,0.6232291589848935,0.6110304449995765,0.6357360399734399,1044,949,0,0.0,False,all_markable_target_contexts_no_comparators,beaminghealth.com,0.023182297154899896,False
2026,Autism,clinical_only,target,Autism,0.6341641785437868,349,242,216,500,doc_id,0.6318368544518802,0.615022021742253,0.6463110484400655,382,349,0,0.0,False,all_markable_target_contexts_no_comparators,crossrivertherapy.com,0.07163323782234957,False
2014,Autism,lived_only,target,Autism,0.6219311527662758,1183,937,796,500,doc_id,0.6213652409639171,0.6131714387352348,0.6297570793377506,1303,1183,0,0.0,False,all_markable_target_contexts_no_comparators,idahoptv.org,0.0084530853761623,False
2015,Autism,lived_only,target,Autism,0.6247525193529866,954,741,650,500,doc_id,0.6241122729237386,0.6151359433555089,0.6339688041339369,1055,954,0,0.0,False,all_markable_target_contexts_no_comparators,specialolympics.org,0.011530398322851153,False
2016,Autism,lived_only,target,Autism,0.6246659994714008,1246,931,797,500,doc_id,0.6245154040503094,0.614955226669478,0.634381951634276,1367,1246,0,0.0,False,all_markable_target_contexts_no_comparators,rainbowsaretoobeautiful.com,0.026484751203852328,False
2017,Autism,lived_only,target,Autism,0.6152481279895712,1249,959,853,500,doc_id,0.6143961930952707,0.6064803534166999,0.6223674701339442,1368,1249,0,0.0,False,all_markable_target_contexts_no_comparators,theautismdirectory.com,0.02321857485988791,False
2018,Autism,lived_only,target,Autism,0.6159561889209155,1119,873,790,500,doc_id,0.6155678019652305,0.6075810126294692,0.6246556036831221,1239,1119,0,0.0,False,all_markable_target_contexts_no_comparators,unibe.ch,0.0160857908847185,False
2019,Autism,lived_only,target,Autism,0.6115793798862829,1072,833,789,500,doc_id,0.610923096837887,0.6025741255875283,0.6191771623897302,1191,1072,0,0.0,False,all_markable_target_contexts_no_comparators,theautismdirectory.com,0.013059701492537313,False
