analysis_unit,lsc_year,frame_stratum,term_role,target_group,raw_form,sampled_contexts,sampled_documents,raw_form_context_share
Autism,2015,mixed,target,Autism,autism_spectrum,68,64,0.14498933901918976
Autism,2015,mixed,target,Autism,autistic,91,87,0.19402985074626866
Autism,2015,substantive_core_overall,target,Autism,asd_disambiguated,51,47,0.015567765567765568
Autism,2015,substantive_core_overall,target,Autism,autism,2222,1642,0.6782661782661783
Autism,2015,substantive_core_overall,target,Autism,autism_spectrum,435,376,0.13278388278388278
Autism,2015,substantive_core_overall,target,Autism,autistic,568,493,0.17338217338217338
Autism,2016,clinical_only,target,Autism,asd_disambiguated,45,36,0.02302968270214944
Autism,2016,clinical_only,target,Autism,autism,1404,1065,0.7185261003070624
Autism,2016,clinical_only,target,Autism,autism_spectrum,324,279,0.16581371545547594
Autism,2016,clinical_only,target,Autism,autistic,181,167,0.09263050153531217
Autism,2016,lived_only,target,Autism,asd_disambiguated,5,5,0.0040128410914927765
Autism,2016,lived_only,target,Autism,autism,767,620,0.615569823434992
Autism,2016,lived_only,target,Autism,autism_spectrum,104,97,0.08346709470304976
Autism,2016,lived_only,target,Autism,autistic,370,320,0.2969502407704655
Autism,2016,mixed,target,Autism,asd_disambiguated,15,12,0.025167785234899327
Autism,2016,mixed,target,Autism,autism,386,339,0.6476510067114094
Autism,2016,mixed,target,Autism,autism_spectrum,82,78,0.13758389261744966
Autism,2016,mixed,target,Autism,autistic,113,106,0.18959731543624161
Autism,2016,substantive_core_overall,target,Autism,asd_disambiguated,65,51,0.017123287671232876
Autism,2016,substantive_core_overall,target,Autism,autism,2557,1867,0.6736037934668072
Autism,2016,substantive_core_overall,target,Autism,autism_spectrum,510,436,0.13435194942044257
Autism,2016,substantive_core_overall,target,Autism,autistic,664,573,0.1749209694415174
Autism,2017,clinical_only,target,Autism,asd_disambiguated,32,31,0.017967434025828188
Autism,2017,clinical_only,target,Autism,autism,1301,987,0.7304884896125772
Autism,2017,clinical_only,target,Autism,autism_spectrum,300,266,0.16844469399213924
Autism,2017,clinical_only,target,Autism,autistic,148,130,0.08309938236945537
Autism,2017,lived_only,target,Autism,asd_disambiguated,3,3,0.0024019215372297837
Autism,2017,lived_only,target,Autism,autism,742,594,0.5940752602081665
Autism,2017,lived_only,target,Autism,autism_spectrum,143,122,0.11449159327461969
Autism,2017,lived_only,target,Autism,autistic,361,319,0.289031224979984
Autism,2017,mixed,target,Autism,asd_disambiguated,2,2,0.0036101083032490976
Autism,2017,mixed,target,Autism,autism,353,305,0.6371841155234657
Autism,2017,mixed,target,Autism,autism_spectrum,89,79,0.16064981949458484
Autism,2017,mixed,target,Autism,autistic,110,98,0.19855595667870035
Autism,2017,substantive_core_overall,target,Autism,asd_disambiguated,37,36,0.01032654200390734
Autism,2017,substantive_core_overall,target,Autism,autism,2395,1725,0.6684342729556237
Autism,2017,substantive_core_overall,target,Autism,autism_spectrum,532,452,0.14847892827239742
Autism,2017,substantive_core_overall,target,Autism,autistic,619,519,0.17276025676807144
Autism,2018,clinical_only,target,Autism,asd_disambiguated,40,36,0.022753128555176336
Autism,2018,clinical_only,target,Autism,autism,1238,965,0.7042093287827076
Autism,2018,clinical_only,target,Autism,autism_spectrum,313,282,0.17804323094425484
Autism,2018,clinical_only,target,Autism,autistic,167,159,0.0949943117178612
Autism,2018,lived_only,target,Autism,asd_disambiguated,7,7,0.006255585344057194
Autism,2018,lived_only,target,Autism,autism,661,545,0.5907059874888293
Autism,2018,lived_only,target,Autism,autism_spectrum,125,115,0.11170688114387846
Autism,2018,lived_only,target,Autism,autistic,326,284,0.291331546023235
Autism,2018,mixed,target,Autism,asd_disambiguated,10,10,0.01834862385321101
Autism,2018,mixed,target,Autism,autism,363,327,0.6660550458715596
Autism,2018,mixed,target,Autism,autism_spectrum,68,64,0.12477064220183487
Autism,2018,mixed,target,Autism,autistic,104,96,0.1908256880733945
Autism,2018,substantive_core_overall,target,Autism,asd_disambiguated,57,53,0.016656925774400935
Autism,2018,substantive_core_overall,target,Autism,autism,2262,1680,0.6610169491525424
Autism,2018,substantive_core_overall,target,Autism,autism_spectrum,506,443,0.1478667445938048
Autism,2018,substantive_core_overall,target,Autism,autistic,597,516,0.1744593804792519
Autism,2019,clinical_only,target,Autism,asd_disambiguated,47,41,0.030244530244530245
Autism,2019,clinical_only,target,Autism,autism,1084,832,0.6975546975546976
Autism,2019,clinical_only,target,Autism,autism_spectrum,292,252,0.1879021879021879
Autism,2019,clinical_only,target,Autism,autistic,131,120,0.08429858429858429
Autism,2019,lived_only,target,Autism,asd_disambiguated,7,7,0.0065298507462686565
Autism,2019,lived_only,target,Autism,autism,648,543,0.6044776119402985
Autism,2019,lived_only,target,Autism,autism_spectrum,142,135,0.13246268656716417
Autism,2019,lived_only,target,Autism,autistic,275,237,0.25652985074626866
Autism,2019,mixed,target,Autism,asd_disambiguated,7,7,0.014344262295081968
Autism,2019,mixed,target,Autism,autism,344,297,0.7049180327868853
Autism,2019,mixed,target,Autism,autism_spectrum,63,58,0.1290983606557377
Autism,2019,mixed,target,Autism,autistic,74,66,0.15163934426229508
Autism,2019,substantive_core_overall,target,Autism,asd_disambiguated,61,54,0.019588953114964676
Autism,2019,substantive_core_overall,target,Autism,autism,2076,1551,0.6666666666666666
Autism,2019,substantive_core_overall,target,Autism,autism_spectrum,497,431,0.15960179833012203
Autism,2019,substantive_core_overall,target,Autism,autistic,480,400,0.15414258188824662
Autism,2020,clinical_only,target,Autism,asd_disambiguated,44,37,0.03142857142857143
Autism,2020,clinical_only,target,Autism,autism,905,717,0.6464285714285715
Autism,2020,clinical_only,target,Autism,autism_spectrum,309,270,0.22071428571428572
Autism,2020,clinical_only,target,Autism,autistic,142,128,0.10142857142857142
Autism,2020,lived_only,target,Autism,asd_disambiguated,4,4,0.004081632653061225
