lsc_year,analysis_unit,frame_stratum,term_role,target_group,valence_mean,valence_sd,arousal_mean_for_reuse,dominance_mean_for_reuse,matched_vad_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_vad_units_coverage,matched_token_positions,contexts_with_vad_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,valence_bootstrap_mean,valence_ci_low,valence_ci_high
2015,Autism,clinical_only,target,Autism,0.08719540471480382,0.4809576375222337,0.02098970903395978,0.058453424826904056,8088,1828,1316,2083,1322,9455,8088,8317,2072,0.8796404019037546,0.9947191550648103,False,500,doc_id,0.08739389566805578,0.07479973174036574,0.10163832275000931
2016,Autism,clinical_only,target,Autism,0.07191523633325377,0.49021758152301065,0.031163211188032152,0.055964669372165196,8378,1901,1387,2175,1392,9691,8378,8610,2168,0.8884532040037147,0.9967816091954023,False,500,doc_id,0.07174188741358817,0.05725102207361334,0.0858934606620621
2017,Autism,clinical_only,target,Autism,0.07387345508693557,0.49039428988000866,0.028291122498138664,0.055905231463233035,7611,1822,1288,1984,1290,8756,7611,7802,1979,0.8910461397898584,0.9974798387096774,False,500,doc_id,0.07453807427668875,0.06010627403607652,0.08835154957844131
2018,Autism,clinical_only,target,Autism,0.07204745019920318,0.49625102085131056,0.03477219787516601,0.047323364320495796,7530,1794,1274,1959,1277,8730,7530,7756,1949,0.888430698739977,0.9948953547728433,False,500,doc_id,0.072247460376723,0.05730962231642561,0.08750522112732456
2019,Autism,clinical_only,target,Autism,0.08027819682826458,0.48817017031458193,0.030934633142627725,0.052319158386028304,6642,1667,1097,1717,1097,7605,6642,6826,1716,0.8975673898750822,0.9994175888177053,False,500,doc_id,0.08049541328952761,0.06416751262548506,0.09585650865344839
2020,Autism,clinical_only,target,Autism,0.0572632790165809,0.5008019430334668,0.032889808461978275,0.041836097770154373,5830,1560,1029,1532,1031,6811,5830,5996,1525,0.8803406254588166,0.9954308093994778,False,500,doc_id,0.057345995705489546,0.040733765418228325,0.07428645612719557
2021,Autism,clinical_only,target,Autism,0.06791658203361141,0.5026798761803927,0.02746599867005199,0.04187660198283158,5514,1493,920,1413,924,6406,5514,5681,1406,0.8868248517015298,0.9950460014154282,False,500,doc_id,0.06748752985362488,0.049723698171840885,0.08506796295502518
2022,Autism,clinical_only,target,Autism,0.07330575055187638,0.502687738941287,0.03320709345106696,0.04381110007358351,4530,1317,772,1175,772,5278,4530,4667,1173,0.8842364532019704,0.9982978723404256,False,500,doc_id,0.07274032035702296,0.0516940886929719,0.09205191829547808
2023,Autism,clinical_only,target,Autism,0.09429148927783033,0.4906788723668163,0.034162507883948284,0.06410951592557552,4228,1244,675,1092,678,4927,4228,4350,1083,0.8828901968743658,0.9917582417582418,False,500,doc_id,0.09437780414494719,0.07536016080610006,0.11287871908591053
2024,Autism,clinical_only,target,Autism,0.07798561796662785,0.49538700123564233,0.0392066792782305,0.05520677629025999,3436,1034,592,900,592,4024,3436,3564,893,0.885685884691849,0.9922222222222222,False,500,doc_id,0.07717998349202967,0.055922217844414986,0.09708150630449716
2025,Autism,clinical_only,target,Autism,0.1271511814446025,0.48801052255818544,0.04037860755492335,0.10397236051841315,4218,1179,632,1044,634,4870,4218,4309,1040,0.8848049281314169,0.9961685823754789,False,500,doc_id,0.12742230995950884,0.10538902313377559,0.14823941183097175
2026,Autism,clinical_only,target,Autism,0.12263305975049245,0.4815573016483882,0.023149288684613703,0.07521424819435325,1523,598,242,382,242,1742,1523,1563,379,0.8972445464982779,0.9921465968586387,False,500,doc_id,0.122854220697448,0.09103166927324835,0.15550777383049946
