analysis_unit,frame_stratum,collocate,occurrences,documents,arousal_warriner_mean,arousal_scaled_mean,valence_warriner_mean,source_terms,unit_frame_occurrences,collocate_share
Autism,lived_only,like,251,238,4.4,0.42500000000000004,7.44,like,40739,0.006161172341000025
Autism,mixed,child,1238,1063,5.21,0.52625,6.779999999999999,child|children,21745,0.05693262819038859
Autism,mixed,disorder,737,643,4.9,0.48750000000000004,3.76,disorder,21745,0.033892848930788685
Autism,mixed,people,424,369,3.77,0.34625,5.7,people,21745,0.019498735341457806
Autism,mixed,disability,316,278,3.8999999999999995,0.3625,2.95,disability,21745,0.014532076339388364
Autism,mixed,support,248,212,3.05,0.25625,6.89,support,21745,0.011404920671418716
Autism,mixed,individual,227,201,3.47,0.30875,6.17,individual,21745,0.010439181421016325
Autism,mixed,diagnose,222,210,3.72,0.34,5.0,diagnose,21745,0.010209243504253852
Autism,mixed,student,210,182,4.25,0.40625,6.410000000000001,student,21745,0.009657392504023914
Autism,mixed,family,204,182,4.35,0.41875,7.25,family,21745,0.009381467003908945
Autism,mixed,spectrum,197,169,3.0499999999999994,0.25625,6.650000000000001,spectrum,21745,0.009059553920441481
Autism,mixed,include,191,183,3.05,0.25625,6.39,include,21745,0.008783628420326511
Autism,mixed,help,188,174,4.29,0.41125,6.950000000000001,help,21745,0.008645665670269028
Autism,mixed,adult,185,162,4.36,0.42000000000000004,5.9,adult,21745,0.008507702920211543
Autism,mixed,parent,180,166,4.14,0.39249999999999996,6.73,parent,21745,0.008277765003449069
Autism,mixed,need,165,156,3.67,0.33375,5.45,need,21745,0.007587951253161646
Autism,mixed,learn,162,149,4.8,0.47500000000000003,6.8500000000000005,learn,21745,0.007449988503104162
Autism,mixed,young,161,146,4.09,0.38625,6.31,young,21745,0.007404000919751667
Autism,mixed,son,150,139,4.43,0.42875,6.91,son,21745,0.0068981375028742235
Autism,mixed,work,141,135,4.33,0.41625,5.05,work,21745,0.00648424925270177
Autism,mixed,year,136,131,3.33,0.29125,5.75,year,21745,0.006254311335939297
