lsc_year,analysis_unit,frame_stratum,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag
2025,ADHD,substantive_core_overall,904,572,3695,2945,2945,858,0.79702300405954,0.9491150442477876,False
2025,Autism,clinical_only,1044,634,4870,3850,3852,1040,0.790965092402464,0.9961685823754789,False
2025,Autism,lived_only,746,566,2823,2310,2311,740,0.8186326602904711,0.9919571045576407,False
2025,Autism,mixed,357,273,1693,1306,1306,354,0.7714116952155936,0.9915966386554622,False
2025,Autism,substantive_core_overall,2147,1326,9386,7466,7469,2134,0.7957596420200298,0.9939450395901258,False
2025,frustration,unframed_baseline,6928,5902,30251,25134,25138,6863,0.830980794023338,0.9906177829099307,False
2025,loneliness,unframed_baseline,1993,1566,8531,6899,6899,1971,0.8086976907748212,0.9889613647767185,False
2025,sadness,unframed_baseline,1921,1581,7423,6027,6029,1905,0.8122053078270242,0.9916710046850599,False
2026,ADHD,clinical_only,271,170,1174,940,940,267,0.8006814310051107,0.985239852398524,False
2026,ADHD,lived_only,109,76,465,377,377,109,0.810752688172043,1.0,False
2026,ADHD,mixed,44,38,190,151,151,43,0.7947368421052632,0.9772727272727273,True
2026,ADHD,substantive_core_overall,424,259,1829,1468,1468,419,0.8026243849097867,0.9882075471698113,False
2026,Autism,clinical_only,382,242,1742,1385,1385,377,0.7950631458094145,0.9869109947643979,False
2026,Autism,lived_only,250,170,1088,813,813,248,0.7472426470588235,0.992,False
2026,Autism,mixed,120,84,572,418,418,114,0.7307692307692307,0.95,False
2026,Autism,substantive_core_overall,752,453,3402,2616,2616,739,0.7689594356261023,0.9827127659574468,False
2026,frustration,unframed_baseline,3851,3276,17304,14739,14740,3838,0.8518261673601479,0.9966242534406647,False
2026,loneliness,unframed_baseline,719,573,3226,2766,2766,716,0.8574085554866708,0.9958275382475661,False
2026,sadness,unframed_baseline,657,550,2573,2121,2121,651,0.8243295763699962,0.9908675799086758,False
