lsc_year,analysis_unit,frame_stratum,term_role,target_group,arousal_warriner_mean,arousal_warriner_sd,arousal_scaled_mean,arousal_scaled_sd,valence_warriner_mean_for_reference,valence_scaled_mean_for_reference,dominance_warriner_mean_for_reference,matched_warriner_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,arousal_warriner_bootstrap_mean,arousal_warriner_ci_low,arousal_warriner_ci_high,arousal_scaled_bootstrap_mean,arousal_scaled_ci_low,arousal_scaled_ci_high
2017,Autism,mixed,target,Autism,4.074854897218864,0.8137088644186367,0.3843568621523579,0.10171360805232946,5.812561467150343,0.6015701833937929,5.583810963321241,2481,743,457,627,457,5090,2481,2482,626,0.48762278978388995,0.9984051036682615,False,500,doc_id,4.074292590702191,4.039511357976447,4.114792626119006,0.3842865738377739,0.37993891974705585,0.38934907826487586
2018,Autism,mixed,target,Autism,4.064222222222222,0.7856224602705811,0.3830277777777778,0.09820280753382268,5.751984126984127,0.5939980158730159,5.5695,2520,755,476,620,477,4948,2520,2520,618,0.5092966855295069,0.9967741935483871,False,500,doc_id,4.064631226562037,4.03414982916649,4.1011241414478965,0.3830789033202546,0.37926872864581124,0.38764051768098706
2019,Autism,mixed,target,Autism,4.064401393121463,0.8180038064184858,0.3830501741401829,0.1022504758023107,5.783683064867218,0.5979603831084023,5.606103613408794,2297,720,403,546,403,4498,2297,2297,546,0.5106714095153402,1.0,False,500,doc_id,4.062886864562735,4.025913003989191,4.099773444686968,0.3828608580703419,0.37823912549864885,0.38747168058587095
2020,Autism,mixed,target,Autism,4.0206078886310905,0.7975162533791076,0.3775759860788863,0.09968953167238857,5.741401392111369,0.5926751740139211,5.578556844547564,2155,737,386,525,388,4302,2155,2155,523,0.50092980009298,0.9961904761904762,False,500,doc_id,4.020539566238022,3.9856782791703522,4.057401502002671,0.3775674457797528,0.37320978489629403,0.38217518775033377
2021,Autism,mixed,target,Autism,4.076368888888889,0.7802745562956734,0.3845461111111111,0.09753431953695921,5.825964444444445,0.6032455555555556,5.591093333333334,2250,742,403,551,407,4421,2250,2252,546,0.5093870165121014,0.9909255898366606,False,500,doc_id,4.076486492665256,4.041906496756371,4.113045840217178,0.38456081158315697,0.38023831209454645,0.38913073002714726
2022,Autism,mixed,target,Autism,4.045782044042913,0.7528744134394958,0.3807227555053642,0.09410930167993696,5.7550931677018635,0.5943866459627329,5.582478825522304,1771,625,318,421,318,3415,1771,1771,421,0.5185944363103954,1.0,False,500,doc_id,4.045256689412614,4.008801670432565,4.084398701811583,0.38065708617657673,0.3761002088040705,0.3855498377264479
2023,Autism,mixed,target,Autism,4.049807564698076,0.7963617652911511,0.3812259455872595,0.0995452206613939,5.776867949568679,0.5971084936960849,5.592627737226278,1507,583,281,372,283,2976,1507,1508,369,0.5067204301075269,0.9919354838709677,False,500,doc_id,4.049164418179878,4.003868081078071,4.09612636772796,0.3811455522724847,0.3754835101347589,0.3870157959659951
2024,Autism,mixed,target,Autism,4.034542042042042,0.7631306967287723,0.3793177552552553,0.09539133709109657,5.834084084084084,0.6042605105105106,5.699804804804805,1332,522,228,315,229,2574,1332,1332,314,0.5174825174825175,0.9968253968253968,False,500,doc_id,4.034885672542471,3.987948158605457,4.081921453037711,0.3793607090678087,0.37349351982568213,0.38524018162971396
2025,Autism,mixed,target,Autism,4.117935142289874,0.8150026846110029,0.3897418927862343,0.1018753355763754,5.785142289874256,0.598142786234282,5.658755790866975,1511,594,273,357,273,2887,1511,1511,357,0.5233806719778317,1.0,False,500,doc_id,4.118489211770454,4.074760839230539,4.161645330594854,0.38981115147130674,0.3843451049038174,0.3952056663243568
2026,Autism,mixed,target,Autism,4.0365631469979295,0.7950271986057182,0.37957039337474124,0.09937839982571475,5.749192546583851,0.5936490683229814,5.548571428571429,483,261,84,120,84,948,483,483,120,0.509493670886076,1.0,False,500,doc_id,4.038838117845969,3.964696346926877,4.118288611846848,0.3798547647307461,0.3705870433658596,0.38978607648085595
