analysis_unit,lsc_year,frame_stratum,available_contexts,markable_contexts_before_dedupe,markable_contexts,sampled_contexts,sampled_documents,sampled_domains,target_sentence_contexts,adjacent_contexts,top_domain,top_domain_share,unmarkable_contexts,duplicate_marked_contexts_removed,unmarkable_share,cap_applied,sampling_policy,max_contexts_per_unit_year_frame,small_cell_flag
frustration,2022,unframed_baseline,6963,6963,6905,1000,1000,979,963,37,greaternoidaescorts.in,0.004,0,58,0.0,True,domain_stratified_baseline_cap,1000,False
frustration,2023,unframed_baseline,6377,6377,6327,1000,1000,982,973,27,kidorf.com,0.004,0,50,0.0,True,domain_stratified_baseline_cap,1000,False
frustration,2024,unframed_baseline,6881,6881,6844,1000,999,979,983,17,askmeoffers.com,0.004,0,37,0.0,True,domain_stratified_baseline_cap,1000,False
frustration,2025,unframed_baseline,6928,6928,6905,1000,998,973,963,37,menhealthclinics.co.za,0.005,0,23,0.0,True,domain_stratified_baseline_cap,1000,False
frustration,2026,unframed_baseline,3851,3851,3826,1000,991,956,953,47,speechblubs.com,0.009,0,25,0.0,True,domain_stratified_baseline_cap,1000,False
loneliness,2014,unframed_baseline,3209,3209,3159,1000,973,835,973,27,astrotheme.com,0.057,0,50,0.0,True,domain_stratified_baseline_cap,1000,False
loneliness,2015,unframed_baseline,2759,2759,2700,1000,975,828,982,18,astrotheme.com,0.074,0,59,0.0,True,domain_stratified_baseline_cap,1000,False
loneliness,2016,unframed_baseline,3561,3561,3486,1000,978,834,969,31,astrotheme.com,0.069,0,75,0.0,True,domain_stratified_baseline_cap,1000,False
loneliness,2017,unframed_baseline,3256,3256,3188,1000,993,925,975,25,astrotheme.com,0.045,0,68,0.0,True,domain_stratified_baseline_cap,1000,False
loneliness,2018,unframed_baseline,3430,3430,3349,1000,994,960,965,35,metaltalk.net,0.008,0,81,0.0,True,domain_stratified_baseline_cap,1000,False
loneliness,2019,unframed_baseline,3142,3142,3080,1000,995,965,972,28,kokaqueen.com,0.009,0,62,0.0,True,domain_stratified_baseline_cap,1000,False
loneliness,2020,unframed_baseline,4381,4381,4273,1000,997,967,960,40,mayabansal.net,0.008,0,108,0.0,True,domain_stratified_baseline_cap,1000,False
loneliness,2021,unframed_baseline,3852,3852,3781,1000,980,897,976,24,trishacallgirl.com,0.037,0,71,0.0,True,domain_stratified_baseline_cap,1000,False
loneliness,2022,unframed_baseline,2955,2955,2893,1000,992,952,973,27,kokaqueen.com,0.006,0,62,0.0,True,domain_stratified_baseline_cap,1000,False
loneliness,2023,unframed_baseline,2588,2588,2517,1000,971,905,985,15,talkwithstranger.com,0.043,0,71,0.0,True,domain_stratified_baseline_cap,1000,False
loneliness,2024,unframed_baseline,2207,2207,2156,1000,987,945,983,17,talkwithstranger.com,0.008,0,51,0.0,True,domain_stratified_baseline_cap,1000,False
loneliness,2025,unframed_baseline,1993,1993,1952,1000,899,865,979,21,vercel.app,0.011,0,41,0.0,True,domain_stratified_baseline_cap,1000,False
loneliness,2026,unframed_baseline,719,719,700,700,573,514,677,23,sexyramya.in,0.017142857142857144,0,19,0.0,False,domain_stratified_baseline_cap,1000,False
sadness,2014,unframed_baseline,6174,6174,6082,1000,993,902,960,40,harrypotterfanfiction.com,0.018,0,92,0.0,True,domain_stratified_baseline_cap,1000,False
sadness,2015,unframed_baseline,4936,4936,4849,1000,994,916,967,33,poetrysoup.com,0.008,0,87,0.0,True,domain_stratified_baseline_cap,1000,False
sadness,2016,unframed_baseline,6011,6011,5922,1000,994,914,970,30,wellesley.edu,0.01,0,89,0.0,True,domain_stratified_baseline_cap,1000,False
sadness,2017,unframed_baseline,5397,5397,5328,1000,994,965,966,34,wordpress.com,0.004,0,69,0.0,True,domain_stratified_baseline_cap,1000,False
sadness,2018,unframed_baseline,5569,5569,5500,1000,999,943,967,33,diydecorhome.com,0.009,0,69,0.0,True,domain_stratified_baseline_cap,1000,False
sadness,2019,unframed_baseline,4490,4490,4439,1000,1000,979,976,24,jribas-digital.com,0.005,0,51,0.0,True,domain_stratified_baseline_cap,1000,False
sadness,2020,unframed_baseline,5091,5091,5032,1000,997,980,970,30,medium.com,0.007,0,59,0.0,True,domain_stratified_baseline_cap,1000,False
sadness,2021,unframed_baseline,4219,4219,4177,1000,996,982,971,29,badminton.de,0.003,0,42,0.0,True,domain_stratified_baseline_cap,1000,False
sadness,2022,unframed_baseline,3768,3768,3729,1000,996,960,983,17,depressiontalk.net,0.006,0,39,0.0,True,domain_stratified_baseline_cap,1000,False
sadness,2023,unframed_baseline,2698,2698,2659,1000,990,961,984,16,psychologytoday.com,0.009,0,39,0.0,True,domain_stratified_baseline_cap,1000,False
sadness,2024,unframed_baseline,2341,2341,2315,1000,992,933,985,15,yahoo.com,0.009,0,26,0.0,True,domain_stratified_baseline_cap,1000,False
sadness,2025,unframed_baseline,1921,1921,1905,1000,917,848,982,18,vercel.app,0.01,0,16,0.0,True,domain_stratified_baseline_cap,1000,False
sadness,2026,unframed_baseline,657,657,649,649,550,500,635,14,onyourmindcounselling.com,0.04160246533127889,0,8,0.0,False,domain_stratified_baseline_cap,1000,False
