analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,valence,weighted_valence_contribution,valence_contribution_to_cell_mean,match_share,total_matches_for_cell,total_documents_for_cell,valence_mean_for_cell
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,positive,4,like,unigram,False,False,102,101,0.77225,78.7695,0.004391943127962085,0.005687203791469194,17935,2913,0.09600177771582566
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,positive,5,individual,unigram,False,False,237,197,0.254,60.198,0.0033564538611653193,0.013214385280178422,17935,2913,0.09600177771582566
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,negative,1,disorder,unigram,False,False,278,245,-0.675,-187.65,-0.011115389171899064,0.016467243217628245,16882,3537,0.24226083797338388
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,negative,2,disability,unigram,False,False,156,147,-0.854,-133.224,-0.007891482051889586,0.009240611301978438,16882,3537,0.24226083797338388
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,negative,3,syndrome,unigram,False,False,162,147,-0.542,-87.804,-0.005201042530505864,0.00959601942897761,16882,3537,0.24226083797338388
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,negative,4,diagnose,unigram,False,False,163,157,-0.45549999999999996,-74.2465,-0.004397968250207321,0.009655254116810804,16882,3537,0.24226083797338388
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,negative,5,spectrum,unigram,True,False,178,166,-0.376,-66.928,-0.003964459187300083,0.010543774434308732,16882,3537,0.24226083797338388
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,positive,1,child,unigram,False,False,798,671,0.7689999999999999,613.6619999999999,0.03635007700509418,0.047269280890889706,16882,3537,0.24226083797338388
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,positive,2,son,unigram,False,False,262,244,0.584,153.00799999999998,0.009063381115981518,0.01551948821229712,16882,3537,0.24226083797338388
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,positive,3,family,unigram,False,False,135,128,0.8845000000000001,119.40750000000001,0.007073065987442247,0.007996682857481341,16882,3537,0.24226083797338388
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,positive,4,parent,unigram,False,False,139,129,0.624,86.736,0.0051377798839000125,0.008233621608814122,16882,3537,0.24226083797338388
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,positive,5,like,unigram,False,False,102,97,0.77225,78.7695,0.004665886743276863,0.006041938158985902,16882,3537,0.24226083797338388
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,negative,1,disorder,unigram,False,False,253,229,-0.675,-170.775,-0.011269301834499142,0.016695261977035768,15154,3176,0.24121968127227134
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,negative,2,disability,unigram,False,False,149,144,-0.854,-127.246,-0.008396858915137917,0.009832387488451893,15154,3176,0.24121968127227134
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,negative,3,diagnose,unigram,False,False,166,161,-0.4555,-75.613,-0.0049896396990893495,0.010954203510624257,15154,3176,0.24121968127227134
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,negative,4,adhd,unigram,False,True,119,113,-0.484,-57.596,-0.003800712683119968,0.007852712155206547,15154,3176,0.24121968127227134
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,negative,5,syndrome,unigram,False,False,99,92,-0.542,-53.658,-0.003540847301042629,0.006532928599709648,15154,3176,0.24121968127227134
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,positive,1,child,unigram,False,False,658,546,0.7689999999999999,506.00199999999995,0.03339065593242708,0.04342087897584796,15154,3176,0.24121968127227134
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,positive,2,son,unigram,False,False,216,201,0.584,126.14399999999999,0.008324138841230037,0.014253662399366504,15154,3176,0.24121968127227134
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,positive,3,family,unigram,False,False,101,93,0.8845000000000001,89.3345,0.005895110201926884,0.006664906955259338,15154,3176,0.24121968127227134
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,positive,4,people,unigram,False,False,424,348,0.198,83.952,0.005539923452553781,0.027979411376534247,15154,3176,0.24121968127227134
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,positive,5,kid,unigram,False,False,130,116,0.4793333333333334,62.31333333333334,0.004112005631076504,0.008578593110729841,15154,3176,0.24121968127227134
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,negative,1,dangerous,unigram,False,False,170,170,-0.96,-163.2,-0.01474387930255669,0.015358207606829885,11069,2282,0.2119501867076219
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,negative,2,disorder,unigram,False,False,166,145,-0.675,-112.05000000000001,-0.01012286566085464,0.014996838016080948,11069,2282,0.2119501867076219
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,negative,3,adhd,unigram,False,True,203,173,-0.484,-98.252,-0.008876321257566176,0.018339506730508628,11069,2282,0.2119501867076219
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,negative,4,obsession,unigram,False,False,171,171,-0.542,-92.682,-0.00837311410244828,0.01544855000451712,11069,2282,0.2119501867076219
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,negative,5,disability,unigram,False,False,78,76,-0.854,-66.612,-0.006017887794742072,0.0070467070196043,11069,2282,0.2119501867076219
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,positive,1,child,unigram,False,False,354,299,0.7689999999999998,272.22599999999994,0.024593549552805127,0.03198120878128106,11069,2282,0.2119501867076219
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,positive,2,family,unigram,False,False,95,89,0.8845000000000001,84.0275,0.007591245821664107,0.00858252778028729,11069,2282,0.2119501867076219
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,positive,3,son,unigram,False,False,137,126,0.584,80.008,0.007228114554160267,0.012376908483151143,11069,2282,0.2119501867076219
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,positive,4,people,unigram,False,False,305,245,0.198,60.39,0.005455777396332098,0.02755443129460656,11069,2282,0.2119501867076219
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,positive,5,support,unigram,False,False,112,92,0.532,59.584,0.005382961423796188,0.010118348540970276,11069,2282,0.2119501867076219
