analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,content_lemmas,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,arousal,weighted_arousal_contribution,arousal_contribution_to_filtered_mean,match_share,total_filtered_matches_for_cell,total_filtered_documents_for_cell,filtered_arousal_mean
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,2,developmental,unigram,developmental,False,False,415,382,0.667,276.805,0.004579225119110641,0.0068654049761778715,60448,10059,0.0031577849280924673
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,3,spectrum,unigram,spectrum,True,False,515,457,0.4,206.0,0.00340788777130757,0.008519719428268926,60448,10059,0.0031577849280924673
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,4,schizophrenia,unigram,schizophrenia,False,False,200,167,0.76,152.0,0.0025145579671784013,0.003308628904182107,60448,10059,0.0031577849280924673
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,5,boy,unigram,boy,False,False,225,212,0.593,133.42499999999998,0.0022072690577024877,0.0037222075172048705,60448,10059,0.0031577849280924673
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,1,people,unigram,people,False,False,857,696,-0.15000000000000002,-128.55,-0.002645116154653388,0.017634107697689253,48599,8244,0.004830118246603156
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,2,individual,unigram,individual,False,False,339,300,-0.346,-117.294,-0.002413506450750015,0.006975452169797732,48599,8244,0.004830118246603156
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,3,family,unigram,family,False,False,252,227,-0.4085,-102.942,-0.0021181917323401713,0.005185291878433713,48599,8244,0.004830118246603156
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,4,son,unigram,son,False,False,295,274,-0.27,-79.65,-0.00163892261157637,0.006070083746579148,48599,8244,0.004830118246603156
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,5,center,unigram,center,False,False,144,119,-0.538,-77.47200000000001,-0.0015941068746270501,0.00296302393053355,48599,8244,0.004830118246603156
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_raising,1,disorder,unigram,disorder,False,False,2241,1754,0.53,1187.73,0.02443939175703204,0.046112059918928375,48599,8244,0.004830118246603156
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_raising,2,developmental,unigram,developmental,False,False,321,300,0.667,214.107,0.004405584477046853,0.006605074178481039,48599,8244,0.004830118246603156
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_raising,3,spectrum,unigram,spectrum,True,False,452,383,0.4,180.8,0.0037202411572254575,0.009300602893063644,48599,8244,0.004830118246603156
