lsc_year,analysis_unit,frame_stratum,term_role,target_group,arousal_mean,arousal_sd,valence_mean_for_reference,dominance_mean_for_reference,matched_vad_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_vad_units_coverage,matched_token_positions,contexts_with_vad_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,arousal_bootstrap_mean,arousal_ci_low,arousal_ci_high,top5_collocate_share
2017,ADHD,substantive_core_overall,target,ADHD,0.026144032602367553,0.3362474508395324,0.06385127110421114,0.03763099812407012,5153,1420,1053,1589,1070,5910,5153,5327,1547,0.9013536379018613,0.973568281938326,False,500,doc_id,0.02626003883452204,0.015757024177157485,0.036222617115127996,0.12594605084416843
2018,ADHD,substantive_core_overall,target,ADHD,0.029331263164229404,0.3384731920136908,0.056493241860745017,0.0342296593849672,5539,1470,1059,1633,1067,6256,5539,5676,1609,0.9072890025575447,0.9853031230863442,False,500,doc_id,0.029088176971646923,0.01890978227840388,0.03928060253422744,0.13269543238851778
2019,ADHD,substantive_core_overall,target,ADHD,0.03209067151263413,0.34272795777680004,0.04362739702319141,0.02987375562478366,4815,1312,945,1441,957,5488,4815,4952,1415,0.902332361516035,0.9819569743233866,False,500,doc_id,0.031774962456730595,0.021993792268509105,0.0441468809004486,0.13042575285565938
2020,ADHD,substantive_core_overall,target,ADHD,0.02923247705759087,0.33680919593487546,0.06197526916684731,0.039738864802370114,4613,1314,961,1427,972,5278,4613,4763,1387,0.9024251610458507,0.9719691660826909,False,500,doc_id,0.028845813112233047,0.019120079748266284,0.039456706210508334,0.12399739865597226
2021,ADHD,substantive_core_overall,target,ADHD,0.02683821103526735,0.3451354525275255,0.052122116751990896,0.02263800483503982,4688,1376,936,1407,941,5299,4688,4824,1381,0.9103604453670504,0.9815209665955935,False,500,doc_id,0.02709081052777951,0.015402070216980842,0.0380059867044237,0.11220136518771331
2022,ADHD,substantive_core_overall,target,ADHD,0.012519484897518878,0.3340384281301412,0.09705093716289105,0.05955946601941747,4944,1386,926,1479,941,5600,4944,5088,1443,0.9085714285714286,0.9756592292089249,False,500,doc_id,0.01223303674129428,0.002332540443186315,0.022324090169366085,0.10012135922330097
2023,ADHD,substantive_core_overall,target,ADHD,0.02289047855605233,0.3353275566434221,0.0976069630733565,0.06363561020036429,4026,1213,745,1208,752,4542,4026,4109,1181,0.9046675473359753,0.9776490066225165,False,500,doc_id,0.022173256139150905,0.010146859166956346,0.034836614604789005,0.11525086934923
2024,ADHD,substantive_core_overall,target,ADHD,0.01796344466936572,0.33291628308979565,0.08510321356275304,0.06433332489878542,3952,1175,724,1171,729,4524,3952,4044,1148,0.8938992042440318,0.9803586678052946,False,500,doc_id,0.017935314822515654,0.00686393830538488,0.029936004625344514,0.11386639676113361
2025,ADHD,substantive_core_overall,target,ADHD,0.02700330522590048,0.3333074092385889,0.10555036956069123,0.08068158442640018,3202,1061,562,904,572,3695,3202,3279,870,0.8874154262516915,0.9623893805309734,False,500,doc_id,0.027170979938942193,0.013769852889679383,0.040781841139011045,0.10961898813241724
2026,ADHD,substantive_core_overall,target,ADHD,0.019801742233417297,0.31526203374660966,0.09051065281276238,0.08010903652392946,1588,664,258,424,259,1829,1588,1629,420,0.8906506287588847,0.9905660377358491,False,500,doc_id,0.018994881018786103,0.002076301537257263,0.03544010419042514,0.11838790931989925
2014,Autism,clinical_only,target,Autism,0.01660467792834602,0.33033173957627615,0.10029683497308334,0.06494604139595322,10774,2041,1708,2850,1708,12440,10774,11041,2843,0.887540192926045,0.9975438596491228,False,500,doc_id,0.01652501545170468,0.00930389938500352,0.023245213711570772,0.1369036569519213
2015,Autism,clinical_only,target,Autism,0.02098970903395978,0.3254191423381165,0.08719540471480382,0.058453424826904056,8088,1828,1316,2083,1322,9455,8088,8317,2072,0.8796404019037546,0.9947191550648103,False,500,doc_id,0.020837573118546608,0.013590569818694394,0.029166402983591955,0.14812067260138476
2016,Autism,clinical_only,target,Autism,0.031163211188032152,0.32862921576039317,0.07191523633325377,0.055964669372165196,8378,1901,1387,2175,1392,9691,8378,8610,2168,0.8884532040037147,0.9967816091954023,False,500,doc_id,0.03124010721977147,0.023247637782475777,0.03877783786897093,0.13702554308904275
2017,Autism,clinical_only,target,Autism,0.028291122498138664,0.33402395107763044,0.07387345508693557,0.055905231463233035,7611,1822,1288,1984,1290,8756,7611,7802,1979,0.8910461397898584,0.9974798387096774,False,500,doc_id,0.02786480548974086,0.019344762842005172,0.036664382201633795,0.1391407173827355
2018,Autism,clinical_only,target,Autism,0.03477219787516601,0.331851895902078,0.07204745019920318,0.047323364320495796,7530,1794,1274,1959,1277,8730,7530,7756,1949,0.888430698739977,0.9948953547728433,False,500,doc_id,0.03461528126425959,0.02633800393909246,0.04294178828665833,0.14276228419654716
2019,Autism,clinical_only,target,Autism,0.030934633142627725,0.33097866197714915,0.08027819682826458,0.052319158386028304,6642,1667,1097,1717,1097,7605,6642,6826,1716,0.8975673898750822,0.9994175888177053,False,500,doc_id,0.031000104968854005,0.02157074474953089,0.04104889916518174,0.14483589280337247
2020,Autism,clinical_only,target,Autism,0.032889808461978275,0.3314804689969877,0.0572632790165809,0.041836097770154373,5830,1560,1029,1532,1031,6811,5830,5996,1525,0.8803406254588166,0.9954308093994778,False,500,doc_id,0.032770632573781114,0.023000666040635036,0.042764339605653554,0.15145797598627786
2021,Autism,clinical_only,target,Autism,0.02746599867005199,0.32955190544421453,0.06791658203361141,0.04187660198283158,5514,1493,920,1413,924,6406,5514,5681,1406,0.8868248517015298,0.9950460014154282,False,500,doc_id,0.02746112320883617,0.017963106065038564,0.03748151269062256,0.14744287268770404
2022,Autism,clinical_only,target,Autism,0.03320709345106696,0.3375530423243343,0.07330575055187638,0.04381110007358351,4530,1317,772,1175,772,5278,4530,4667,1173,0.8842364532019704,0.9982978723404256,False,500,doc_id,0.03355269748269063,0.02331518098797196,0.04488258015170871,0.16070640176600443
2023,Autism,clinical_only,target,Autism,0.034162507883948284,0.3325082090493842,0.09429148927783033,0.06410951592557552,4228,1244,675,1092,678,4927,4228,4350,1083,0.8828901968743658,0.9917582417582418,False,500,doc_id,0.03438604480548301,0.02236082006174104,0.046267495295927615,0.15515610217596973
2024,Autism,clinical_only,target,Autism,0.0392066792782305,0.33174979710608055,0.07798561796662785,0.05520677629025999,3436,1034,592,900,592,4024,3436,3564,893,0.885685884691849,0.9922222222222222,False,500,doc_id,0.0392843279100241,0.027622673163655357,0.05106059301133249,0.17374854481955762
2025,Autism,clinical_only,target,Autism,0.04037860755492335,0.32862064116986456,0.1271511814446025,0.10397236051841315,4218,1179,632,1044,634,4870,4218,4309,1040,0.8848049281314169,0.9961685823754789,False,500,doc_id,0.040186734756581924,0.02880215661166719,0.05316751669817246,0.15718349928876246
2026,Autism,clinical_only,target,Autism,0.023149288684613703,0.3128619914842233,0.12263305975049245,0.07521424819435325,1523,598,242,382,242,1742,1523,1563,379,0.8972445464982779,0.9921465968586387,False,500,doc_id,0.023451328112245363,0.003941639734351933,0.0426491622115059,0.15758371634931057
2014,Autism,lived_only,target,Autism,-0.02420764970175846,0.3099147102882703,0.24155448911612054,0.1049500890851344,4303,1436,927,1303,937,5063,4303,4467,1288,0.8822832312857989,0.9884881043745203,False,500,doc_id,-0.024545320402311104,-0.03305574780867286,-0.0153871794067223,0.11503602138043226
2015,Autism,lived_only,target,Autism,-0.017438245914101102,0.31077508856445446,0.22574967692892434,0.09487369346256176,3508,1247,737,1055,741,4117,3508,3643,1045,0.8848676220548943,0.990521327014218,False,500,doc_id,-0.017600829063512537,-0.028465893286311387,-0.005479257797452283,0.10746864310148233
2016,Autism,lived_only,target,Autism,-0.023240980563441798,0.3152295289194965,0.2530995159059474,0.111663190652981,4579,1406,921,1367,931,5380,4579,4739,1353,0.8808550185873606,0.9897585954645208,False,500,doc_id,-0.023072194583869065,-0.031775982638777255,-0.013762005624904676,0.11225158331513431
2017,Autism,lived_only,target,Autism,-0.01866457034728406,0.3118272914213073,0.24478315894924307,0.11313063965568418,4492,1431,952,1368,959,5348,4492,4679,1350,0.87490650710546,0.9868421052631579,False,500,doc_id,-0.018603564870246315,-0.028043251966699875,-0.008510589477741902,0.10952804986642921
2018,Autism,lived_only,target,Autism,-0.02562201219512195,0.3051600657163055,0.24338366260162603,0.11172340650406504,4100,1386,866,1239,873,4830,4100,4234,1224,0.8766045548654244,0.9878934624697336,False,500,doc_id,-0.026110193425477726,-0.036321132893302174,-0.01663083058674396,0.10317073170731708
2019,Autism,lived_only,target,Autism,-0.026790090309982913,0.3047960290428868,0.24878142543324383,0.1246982100724107,4097,1332,829,1191,833,4782,4097,4236,1178,0.8858218318695107,0.9890848026868178,False,500,doc_id,-0.026551084215825433,-0.03661233088363619,-0.016786321814562005,0.11837930192824017
2020,Autism,lived_only,target,Autism,-0.024721543123543122,0.3164643467569328,0.23785969696969697,0.10997838228438228,3575,1243,777,1064,782,4208,3575,3695,1054,0.8780893536121673,0.9906015037593985,False,500,doc_id,-0.02470762767032478,-0.037474443680189595,-0.013034345182081596,0.12083916083916084
