lsc_year,analysis_unit,frame_stratum,term_role,target_group,valence_warriner_mean,valence_warriner_sd,valence_scaled_mean,valence_scaled_sd,arousal_warriner_mean_for_reuse,arousal_scaled_mean_for_reuse,dominance_warriner_mean_for_reuse,matched_warriner_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,valence_warriner_bootstrap_mean,valence_warriner_ci_low,valence_warriner_ci_high,valence_scaled_bootstrap_mean,valence_scaled_ci_low,valence_scaled_ci_high
2026,ADHD,mixed,target,ADHD,5.60551876379691,1.3084748852715182,0.5756898454746138,0.16355936065893978,4.13962472406181,0.39245309050772625,5.530640176600442,151,105,37,44,38,190,151,151,43,0.7947368421052632,0.9772727272727273,True,500,doc_id,5.605955434588709,5.34115100354658,5.8167953431372545,0.5757444293235886,0.5426438754433225,0.6020994178921568
2014,ADHD,substantive_core_overall,target,ADHD,5.315057300377873,1.383627168043663,0.5393821625472341,0.17295339600545787,4.238588862045469,0.4048236077556836,5.335956141981044,5381,1180,1068,1779,1093,6595,5381,5383,1718,0.8162244124336618,0.9657110736368747,False,500,doc_id,5.314538291471596,5.272878430654099,5.35823809016877,0.5393172864339495,0.5341098038317623,0.5447797612710963
2015,ADHD,substantive_core_overall,target,ADHD,5.306086972108697,1.3956932599801495,0.5382608715135871,0.17446165749751869,4.225448842044885,0.4031811052556105,5.348621208862121,4649,1123,966,1547,993,5713,4649,4654,1493,0.8146332924908104,0.9650937297996122,False,500,doc_id,5.30720268461902,5.260196612437121,5.355134387721961,0.5384003355773775,0.53252457655464,0.5443917984652452
2016,ADHD,substantive_core_overall,target,ADHD,5.267576539046486,1.4454064488853837,0.5334470673808107,0.18067580611067297,4.216210738610064,0.402026342326258,5.330497917079945,5041,1177,1081,1640,1098,6104,5041,5042,1592,0.8260157273918742,0.9707317073170731,False,500,doc_id,5.267605287449365,5.217949973671616,5.319262001133702,0.5334506609311706,0.5272437467089519,0.5399077501417128
2017,ADHD,substantive_core_overall,target,ADHD,5.288384068475184,1.4455496590215289,0.536048008559398,0.1806937073776911,4.229097811831297,0.40363722647891215,5.3199623800648865,4829,1158,1047,1589,1070,5910,4829,4836,1528,0.8182741116751269,0.961611076148521,False,500,doc_id,5.288933950245037,5.230574437059115,5.337149219711173,0.5361167437806297,0.5288218046323893,0.5421436524638966
2018,ADHD,substantive_core_overall,target,ADHD,5.278312781366217,1.4646168060389315,0.5347890976707771,0.18307710075486644,4.231607620538918,0.4039509525673648,5.342317478958701,5109,1174,1055,1633,1067,6256,5109,5114,1600,0.8174552429667519,0.9797917942437232,False,500,doc_id,5.27844769936827,5.2288504363856845,5.328235827214481,0.5348059624210337,0.5286063045482106,0.5410294784018103
2019,ADHD,substantive_core_overall,target,ADHD,5.22704238489665,1.4866252658425232,0.5283802981120812,0.1858281582303154,4.2368364301171555,0.40460455376464444,5.306119692560257,4467,1053,938,1441,957,5488,4467,4468,1400,0.8141399416909622,0.9715475364330326,False,500,doc_id,5.226543617466754,5.169308853892736,5.283251757077643,0.5283179521833442,0.5211636067365919,0.5354064696347054
2020,ADHD,substantive_core_overall,target,ADHD,5.276469742872679,1.4607705289110489,0.5345587178590848,0.1825963161138811,4.224014604210363,0.4030018255262953,5.320777596519847,4291,1048,957,1427,972,5278,4291,4294,1374,0.8135657446002273,0.9628591450595655,False,500,doc_id,5.277481605696555,5.224315581417858,5.326611098696185,0.5346852007120694,0.5280394476772322,0.5408263873370232
2021,ADHD,substantive_core_overall,target,ADHD,5.228417445482866,1.4826951289133345,0.5285521806853583,0.18533689111416682,4.231035436137072,0.40387942951713396,5.271189641744548,4280,1096,930,1407,941,5299,4280,4283,1369,0.8082657105114173,0.9729921819474058,False,500,doc_id,5.224956816607941,5.172382504765494,5.27937558310055,0.5281196020759926,0.5215478130956868,0.5349219478875686
2022,ADHD,substantive_core_overall,target,ADHD,5.339016778766182,1.4418338084703524,0.5423770973457728,0.18022922605879405,4.186143415057496,0.398267926882187,5.39727959788819,4609,1110,922,1479,941,5600,4609,4610,1433,0.8232142857142857,0.9688979039891819,False,500,doc_id,5.339422162793341,5.284555179536633,5.390701216781916,0.5424277703491677,0.5355693974420792,0.5488376520977395
