analysis_unit,frame_stratum,collocate,occurrences,documents,valence_warriner_mean,valence_scaled_mean,arousal_warriner_mean,source_terms,unit_frame_occurrences,collocate_share
ADHD,substantive_core_overall,have,2446,2071,5.86,0.6075,3.52,have,66268,0.03691072614233114
ADHD,substantive_core_overall,child,1950,1596,7.2,0.775,5.33,child,66268,0.029425967284360477
ADHD,substantive_core_overall,autism,1662,1460,3.2,0.275,4.1,autism,66268,0.02507997827005493
ADHD,substantive_core_overall,disorder,1330,1142,3.7599999999999993,0.345,4.9,disorder,66268,0.020070018711897144
ADHD,substantive_core_overall,add,1294,1064,6.23,0.65375,4.0,add,66268,0.01952677008510895
ADHD,substantive_core_overall,anxiety,865,815,2.38,0.1725,4.779999999999999,anxiety,66268,0.013053057282549647
ADHD,substantive_core_overall,diagnose,853,781,5.0,0.5,3.72,diagnose,66268,0.012871974406953583
ADHD,substantive_core_overall,symptom,845,746,3.33,0.29125,4.17,symptom,66268,0.01275125248988954
ADHD,substantive_core_overall,depression,729,686,2.44,0.18,5.2,depression,66268,0.011000784692460916
ADHD,substantive_core_overall,can,724,661,6.41,0.67625,3.14,can,66268,0.01092533349429589
ADHD,substantive_core_overall,adult,655,503,5.9,0.6125,4.36,adult,66268,0.009884106959618518
ADHD,substantive_core_overall,like,644,598,7.440000000000001,0.8050000000000002,4.4,like,66268,0.00971811432365546
ADHD,substantive_core_overall,include,599,582,6.39,0.67375,3.05,include,66268,0.009039053540170218
ADHD,substantive_core_overall,other,578,556,5.41,0.55125,3.48,other,66268,0.008722158507877106
ADHD,substantive_core_overall,learn,543,501,6.85,0.73125,4.8,learn,66268,0.008194000120721917
ADHD,substantive_core_overall,medication,537,462,3.65,0.33125,4.56,medication,66268,0.008103458682923885
ADHD,substantive_core_overall,treatment,531,454,5.0,0.5,4.47,treatment,66268,0.008012917245125853
ADHD,substantive_core_overall,people,530,473,5.7,0.5875,3.77,people,66268,0.007997827005492847
ADHD,substantive_core_overall,condition,527,499,4.32,0.41500000000000004,4.15,condition,66268,0.007952556286593832
ADHD,substantive_core_overall,treat,522,482,6.84,0.73,5.0,treat,66268,0.007877105088428805
ADHD,substantive_core_overall,diagnosis,489,448,4.62,0.4525,4.0,diagnosis,66268,0.007379127180539627
ADHD,substantive_core_overall,disability,458,415,2.95,0.24375000000000005,3.9,disability,66268,0.00691132975191646
ADHD,substantive_core_overall,use,454,419,5.18,0.5225,4.19,use,66268,0.006850968793384439
ADHD,substantive_core_overall,help,449,421,6.95,0.74375,4.29,help,66268,0.006775517595219412
Autism,clinical_only,disorder,5360,4064,3.76,0.345,4.9,disorder,83888,0.06389471676521076
Autism,clinical_only,be,5115,3981,6.18,0.6475,3.43,be,83888,0.06097415601754721
Autism,clinical_only,child,3437,2754,7.2,0.775,5.33,child,83888,0.040971295060080105
Autism,clinical_only,have,2045,1813,5.86,0.6075,3.52,have,83888,0.02437774175090597
Autism,clinical_only,disability,850,759,2.95,0.24375000000000002,3.9,disability,83888,0.010132557695975587
Autism,clinical_only,cause,847,737,5.14,0.5175,3.48,cause,83888,0.010096795727636849
Autism,clinical_only,vaccine,776,592,6.48,0.685,6.45,vaccine,83888,0.009250429143620065
Autism,clinical_only,include,754,709,6.39,0.67375,3.05,include,83888,0.008988174709135991
Autism,clinical_only,other,727,700,5.41,0.55125,3.48,other,83888,0.008666316994087354
Autism,clinical_only,people,704,615,5.7,0.5875,3.77,people,83888,0.008392141903490368
Autism,clinical_only,spectrum,635,556,6.65,0.70625,3.05,spectrum,83888,0.007569616631699408
Autism,clinical_only,diagnose,622,573,5.0,0.5,3.72,diagnose,83888,0.007414648102231546
Autism,clinical_only,condition,610,579,4.32,0.41500000000000004,4.15,condition,83888,0.007271600228876597
Autism,clinical_only,link,586,534,5.9,0.6125,3.15,link,83888,0.006985504482166698
Autism,clinical_only,individual,582,502,6.17,0.64625,3.47,individual,83888,0.0069378218577150486
Autism,clinical_only,research,533,466,6.5,0.6875,4.8,research,83888,0.006353709708182338
Autism,clinical_only,treatment,532,467,5.0,0.5,4.47,treatment,83888,0.006341789052069426
Autism,clinical_only,can,531,504,6.41,0.67625,3.14,can,83888,0.006329868395956513
Autism,clinical_only,study,515,467,5.78,0.5975,2.55,study,83888,0.006139137898149914
Autism,clinical_only,syndrome,500,453,4.33,0.41625,4.68,syndrome,83888,0.005960328056456228
Autism,clinical_only,diagnosis,496,459,4.62,0.4525,4.0,diagnosis,83888,0.005912645432004577
Autism,clinical_only,may,446,406,5.55,0.56875,3.19,may,83888,0.005316612626358955
