analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,rank,word,occurrences_in_high_distance_contexts,high_distance_contexts_with_word,high_distance_documents_with_word,high_distance_contexts_used,context_share,mean_context_avg_distance
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,5,actually,2,2,2,20,0.1,0.5018639015434359
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,6,case,2,2,2,20,0.1,0.47363437337749587
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,7,design,2,2,2,20,0.1,0.47830774043552593
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,8,diagnosis,2,2,2,20,0.1,0.47271121529302107
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,9,disorder,2,2,2,20,0.1,0.4607886428619841
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,10,experience,2,2,2,20,0.1,0.5068993768936998
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,1,family,4,4,4,20,0.2,0.4535675571875645
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,2,individual,4,4,4,20,0.2,0.4485928038043391
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,3,research,4,4,4,20,0.2,0.44889424570762015
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,4,speaks,3,3,3,20,0.15,0.43856086478131545
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,5,government,3,2,2,20,0.1,0.5556681080337467
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,6,lead,3,2,2,20,0.1,0.5350675969613145
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,7,powerful,3,2,2,20,0.1,0.5488021306946244
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,8,treatment,3,2,2,20,0.1,0.467728131098617
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,9,action,2,2,2,20,0.1,0.45775228825588554
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,10,change,2,2,2,20,0.1,0.45095312090068657
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,1,child,5,4,4,20,0.2,0.4378360581871932
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,2,early,3,3,3,20,0.15,0.448992092804182
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,3,new,3,3,3,20,0.15,0.488517137940977
