analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,content_lemmas,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,valence,weighted_valence_contribution,valence_contribution_to_filtered_mean,match_share,total_filtered_matches_for_cell,total_filtered_documents_for_cell,filtered_valence_mean
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,positive,2,developmental,unigram,developmental,False,False,415,382,0.704,292.15999999999997,0.004833245103229221,0.0068654049761778715,60448,10059,0.13746612350008824
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,positive,3,family,unigram,family,False,False,306,283,0.8845000000000002,270.65700000000004,0.004477517866596083,0.005062202223398623,60448,10059,0.13746612350008824
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,positive,4,son,unigram,son,False,False,371,340,0.584,216.664,0.00358430386447856,0.006137506617257808,60448,10059,0.13746612350008824
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,positive,5,parent,unigram,parent,False,False,333,310,0.624,207.792,0.003437533086289042,0.005508867125463208,60448,10059,0.13746612350008824
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,negative,1,disorder,unigram,disorder,False,False,2241,1754,-0.675,-1512.6750000000002,-0.031125640445276655,0.046112059918928375,48599,8244,0.13548675144207356
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,negative,2,disability,unigram,disability,False,False,456,423,-0.854,-389.424,-0.00801300438280623,0.009382909113356241,48599,8244,0.13548675144207356
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,negative,3,adhd,unigram,adhd,False,True,484,432,-0.484,-234.256,-0.004820181485215745,0.009959052655404432,48599,8244,0.13548675144207356
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,negative,4,diagnose,unigram,diagnose,False,False,445,416,-0.4555,-202.69750000000002,-0.004170816271939752,0.009156567007551596,48599,8244,0.13548675144207356
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,negative,5,spectrum,unigram,spectrum,True,False,452,383,-0.376,-169.952,-0.00349702668779193,0.009300602893063644,48599,8244,0.13548675144207356
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,positive,1,child,unigram,child,False,False,2099,1618,0.7689999999999999,1614.1309999999999,0.03321325541677812,0.043190189098541124,48599,8244,0.13548675144207356
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,positive,2,developmental,unigram,developmental,False,False,321,300,0.704,225.98399999999998,0.004649972221650651,0.006605074178481039,48599,8244,0.13548675144207356
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,positive,3,family,unigram,family,False,False,252,227,0.8845000000000001,222.894,0.004586390666474619,0.005185291878433713,48599,8244,0.13548675144207356
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,positive,4,include,unigram,include,False,False,422,401,0.45933333333333337,193.83866666666668,0.003988531999972565,0.008683306240869154,48599,8244,0.13548675144207356
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,positive,5,son,unigram,son,False,False,295,274,0.584,172.28,0.003544928908002222,0.006070083746579148,48599,8244,0.13548675144207356
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,negative,1,disorder,unigram,disorder,False,False,1673,1261,-0.675,-1129.275,-0.032327808313294404,0.04789304935302874,34932,5739,0.14197450093515018
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,negative,2,adhd,unigram,adhd,False,True,613,507,-0.484,-296.692,-0.008493415779228216,0.017548379709149204,34932,5739,0.14197450093515018
