analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,arousal,weighted_arousal_contribution,arousal_contribution_to_cell_mean,match_share,total_matches_for_cell,total_documents_for_cell,arousal_mean_for_cell
ADHD,lived_only,Lived experience,2018-2021,2,2018,2021,arousal_raising,5,issue,unigram,False,False,17,17,0.5900000000000001,10.030000000000001,0.0027737831858407084,0.004701327433628319,3616,901,0.005504507743362833
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_lowering,1,autistic,unigram,False,True,58,51,-0.326,-18.908,-0.004505122706695259,0.013819394805813677,4197,908,0.0011107497418791205
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_lowering,2,dyslexia,unigram,False,False,88,83,-0.167,-14.696000000000002,-0.003501548725279962,0.020967357636406957,4197,908,0.0011107497418791205
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_lowering,3,individual,unigram,False,False,32,30,-0.346,-11.072,-0.002638074815344293,0.007624493685966166,4197,908,0.0011107497418791205
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_lowering,4,student,unigram,False,False,29,24,-0.364,-10.556,-0.0025151298546580887,0.006909697402906838,4197,908,0.0011107497418791205
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_lowering,5,people,unigram,False,False,69,60,-0.15000000000000002,-10.350000000000001,-0.002466047176554682,0.016440314510364547,4197,908,0.0011107497418791205
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_raising,1,challenge,unigram,False,False,34,31,0.7555000000000001,25.687,0.006120324040981654,0.008101024541339052,4197,908,0.0011107497418791205
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_raising,2,anxiety,unigram,False,False,32,30,0.73,23.36,0.005565880390755301,0.007624493685966166,4197,908,0.0011107497418791205
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_raising,3,struggle,unigram,False,False,27,27,0.7575000000000001,20.4525,0.00487312365975697,0.006433166547533953,4197,908,0.0011107497418791205
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_raising,4,disorder,unigram,False,False,34,31,0.53,18.02,0.004293543006909697,0.008101024541339052,4197,908,0.0011107497418791205
ADHD,lived_only,Lived experience,2022-2026,3,2022,2026,arousal_raising,5,spectrum,unigram,False,True,26,22,0.4,10.4,0.002477960447939004,0.0061949011198475104,4197,908,0.0011107497418791205
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,1,link,unigram,False,False,416,376,-0.4719999999999999,-196.35199999999998,-0.0032332493536860476,0.006850104562894169,60729,10065,0.005642004094693916
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,2,family,unigram,False,False,301,278,-0.4085,-122.95849999999999,-0.002024708129559189,0.0049564458495940985,60729,10065,0.005642004094693916
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,3,individual,unigram,False,False,354,304,-0.346,-122.484,-0.002016894729042138,0.005829175517462827,60729,10065,0.005642004094693916
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,4,center,unigram,False,False,217,177,-0.538,-116.74600000000001,-0.0019224093925472182,0.0035732516590096988,60729,10065,0.005642004094693916
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_lowering,5,people,unigram,False,False,742,607,-0.15000000000000002,-111.30000000000001,-0.0018327323025243295,0.012218215350162195,60729,10065,0.005642004094693916
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,1,disorder,unigram,False,False,2685,2101,0.53,1423.0500000000002,0.023432791582275358,0.04421281430617991,60729,10065,0.005642004094693916
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,2,developmental,unigram,False,False,415,382,0.667,276.805,0.0045580365229132705,0.006833637965387212,60729,10065,0.005642004094693916
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,3,spectrum,unigram,True,False,515,457,0.4,206.0,0.0033921190864331704,0.008480297716082925,60729,10065,0.005642004094693916
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,4,schizophrenia,unigram,False,False,200,167,0.76,152.0,0.002502922821057485,0.0032933195013914274,60729,10065,0.005642004094693916
Autism,substantive_core_overall,Overall,2014-2017,1,2014,2017,arousal_raising,5,boy,unigram,False,False,225,212,0.593,133.42499999999998,0.002197055772365756,0.003704984439065356,60729,10065,0.005642004094693916
